Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,sector_name,Current Price,Trendlyne Momentum Score,Trendlyne Valuation Score,is_buyable,Market Capitalization,Prev Week Trendlyne Momentum Score,Is Stock In PE Buy Zone,buy_intensity,Is Stock in PE Sell Zone,Week change %,%Days traded below current PE Price to Earnings,Month Change %,Trendlyne Durability Score,Prev Day Change %,Day change %,Revenue QoQ Growth %,Forecaster Estimates 1Y forward PEG,PEG TTM PE to Growth
Gujarat Apollo Industries Ltd.,GUJAPOLLO,522217,GUJAPOLLO,INE826C01016,Industrial Machinery,General Industrials,455.65,56.15,14.33,9137.24,590.98,67.03,,5399908.15,,-0.5,,4.26,35,1.62,-0.43,16.32,Export NA,1.6
Gujarat Natural Resources Ltd.,,513536,GNRL,INE207H01018,Exploration & Production,Oil & Gas,92.08,68.36,21.33,3169.83,1412.53,68.34,99.68,4477482.08,99.68,-2.65,99.68,2.76,,-1.16,0.11,157.7,Export NA,4.63
Gulshan Polyols Ltd.,GULPOLY,532457,GULPOLY,INE255D01024,Commodity Chemicals,Chemicals & Petrochemicals,138.79,31.71,59.67,6860.12,865.64,28.74,0.56,5938407.73,0.56,-2.68,0.56,-9.2,85,-0.69,0.97,-8.68,Export NA,0.22
HBG Hotels Ltd.,,537839,PHOENIXTN,INE977M01024,Hotels,Hotels Restaurants & Tourism,145.6,28.33,33.17,446.63,290.46,24.92,56.42,129729.6,56.42,-4.12,56.42,-2.54,50,-2.49,1.93,-25.21,Export NA,-0.07
HCL Infosystems Ltd.,HCL-INSYS,500179,HCL-INSYS,INE236A01020,Computer Hardware,Hardware Technology & Equipment,13.86,33.92,1.5,6421.95,456.28,36.07,,2930239.62,,-5.59,,-6.85,,-0.5,-1,-27.88,Export NA,-0.83
HCP Plastene Bulkpack Ltd.,,526717,HPBL,INE136C01044,Containers & Packaging,Commercial Services & Supplies,192.5,66.48,54.5,8358,205.49,70.97,12.07,1717485,12.07,2.67,12.07,7.78,85,4.06,4.99,57.22,Export NA,0.05
HIM Teknoforge Ltd.,,505712,HIMTEK,INE705G01021,Auto Parts & Equipment,Automobiles & Auto Components,247,59.97,50.83,35321.07,233.94,67.73,85.75,8263138,85.75,-2.27,85.75,18.58,65,-1.54,0.28,5.64,Export NA,0.64
HLV Ltd.,HLVLTD,500193,HLVLTD,INE102A01024,Hotels,Hotels Restaurants & Tourism,9.62,28.9,39.5,3851.05,634.21,30.13,76.41,2442364.08,76.41,-1.33,76.41,-14.34,55,-1.02,-0.82,-12.05,Export NA,-1.2
HMA Agro Industries Ltd.,HMAAGRO,543929,HMAAGRO,INE0ECP01024,Other Food & Beverages,"Food, Beverages & Tobacco",29.93,31.02,62,4690.54,1498.8,51.47,4.68,7030197.84,4.68,-4.62,4.68,-2.92,55,-0.07,-0.66,91.99,Export NA,0.51
HP Adhesives Ltd.,HPAL,543433,HPAL,INE0GSL01024,Specialty Chemicals,Chemicals & Petrochemicals,45.46,33.16,39.5,3705.05,417.66,31.07,29.95,1547458.4,29.95,-3.34,29.95,-1.73,45,-1.18,-0.94,-1.58,Export NA,-1.21
HP Telecom India Ltd.,HPTL,,HPTL,INE0VA601019,Specialty Retail,Retailing,295,50.79,22.67,4028.64,351.48,51.16,100,1416000,100,-2.83,100,1.72,,0,-1.83,,Export NA,
HT Media Ltd.,HTMEDIA,532662,HTMEDIA,INE501G01024,Publishing,Commercial Services & Supplies,24.03,51.25,62.5,5427.02,559.29,52.1,86.76,3035301.39,86.76,-5.88,86.76,-14.73,75,-0.08,-1.68,9.55,Export NA,0.23
HVAX Technologies Ltd.,HVAX,,HVAX,INE0TO501019,Misc. Commercial Services,Commercial Services & Supplies,830,50.29,24,2160.68,230.48,59.54,100,498000,100,-6.75,100,-7.98,,-4.12,1.84,,Export NA,
Halder Venture Ltd.,,539854,HALDER,INE115S01010,Other Food & Beverages,"Food, Beverages & Tobacco",271.05,59.87,48.33,24056.73,337.13,36.69,83.98,8110358.1,83.98,38.29,83.98,21.55,55,12.24,3.75,-5.22,Export NA,-0.82
Haldyn Glass Ltd.,,515147,HALDYNGL,INE506D01020,Containers & Packaging,Commercial Services & Supplies,93.72,41.67,47.67,6693.56,503.76,42.25,54.02,3371951.88,54.02,-4.99,54.02,-4.07,65,-1.33,-1.08,0.6,Export NA,-2.54
Haleos Labs Ltd.,HALEOSLABS,540679,HALEOSLABS,INE320X01016,Pharmaceuticals,Pharmaceuticals & Biotechnology,1393.5,64.52,47.33,7048.59,421.3,56.04,72.27,2969548.5,72.27,2.83,72.27,24.46,70,-0.69,3.05,-1.38,Export NA,-1.55
Hampton Sky Realty Ltd.,,526407,HAMPTON,INE299D01022,Realty,Realty,15.1,25.77,9,1173.31,414.05,25.94,,485812.3,,-2.64,,-19.12,,1.32,3.42,56.42,Export NA,0.16
Hardwyn India Ltd.,HARDWYN,541276,HARDWYN,INE626Z01029,Household Products,Consumer Durables,17.75,69.2,28.33,72063.38,866.97,68.61,43.4,62476822.75,43.4,13.27,43.4,24.91,75,-1.82,3.08,18.03,Export NA,-5.61
Hariom Pipe Industries Ltd.,HARIOMPIPE,543517,HARIOMPIPE,INE00EV01017,Iron & Steel Products,Metals & Mining,343.05,39.41,52.17,13738.04,1062.33,41.65,9.67,14594376.15,9.67,-5.17,9.67,-24.78,55,-0.46,-0.49,-27.14,Export NA,3.82
Harrisons Malayalam Ltd.,HARRMALAYA,500467,HARRMALAYA,INE544A01019,Auto Tyres & Rubber Products,Automobiles & Auto Components,174.15,32.29,66.67,1656.43,321.4,32.95,37.9,532376.55,37.9,-3.35,37.9,-13.38,75,-0.06,-0.1,15.41,Export NA,0.01
Hazoor Multi Projects Ltd.,,532467,HAZOOR,INE550F01049,Roads & Highways,Cement and Construction,37.12,45.52,34,31119.78,859.83,26.63,99.61,26757692.16,99.61,15.35,99.61,12.48,30,-1.94,0.68,-43.28,Export NA,-0.51
Hemant Surgical Industries Ltd.,,543916,HSIL,INE0GYI01028,Medical Equipment,Healthcare,259,58.08,26,4601.79,337.69,58.25,88.7,1554000,88.7,-9.12,88.7,-4.11,,-0.13,-0.25,,Export NA,
Heranba Industries Ltd.,HERANBA,543266,HERANBA,INE694N01015,Agrochemicals,Chemicals & Petrochemicals,255.8,34.94,38.17,4033.14,1023.55,42.27,,4128100.4,,-1.63,,-15.55,50,0.12,-0.6,15.31,Export NA,0.13
Hercules Investments Ltd.,HERCULES,505720,HERCULES,INE688E01024,Industrial Machinery,General Industrials,168.97,50.71,26.83,4761.88,540.7,46,89.79,2574764.86,89.79,1.48,89.79,-8.2,,1.49,-3.61,,Export NA,-0.84
Hester Biosciences Ltd.,HESTERBIO,524669,HESTERBIO,INE782E01017,Pharmaceuticals,Pharmaceuticals & Biotechnology,1653.9,39.22,44,4744.38,1406.96,44.83,4.63,6675140.4,4.63,-2.44,4.63,0.44,80,-0.42,0.5,-15.62,Export NA,0.37
Heubach Colorants India Ltd.,HEUBACHIND,506390,HEUBACHIND,INE492A01029,Dyes & Pigments,Chemicals & Petrochemicals,455.65,31.91,59,3581.18,1051.72,32.73,24.07,3766402.9,24.07,-4.55,24.07,-11.85,80,-0.26,-1.22,-13.09,Export NA,0.24
Hexa Tradex Ltd.,HEXATRADEX,534328,HEXATRADEX,INE750M01017,Other Financial Services,Banking and Finance,165.76,31.78,38,363.11,915.74,33.44,70.99,332514.56,70.99,-1.49,70.99,-6.07,,0.16,-1.33,,Export NA,0.2
Hi-Green Carbon Ltd.,HIGREEN,,HIGREEN,INE0PIC01017,Waste Management,Utilities,154.35,27.72,28.67,39375.75,385.72,28.04,,15188040,,-10.6,,-20.95,,-2.79,0.75,,Export NA,
High Energy Batteries (India) Ltd.,,504176,HIGHENE,INE783E01023,Other Electrical Equipment/Products,Consumer Durables,580.7,31.08,28.5,2353.91,520.53,57.99,68.19,1225277,68.19,-6.31,68.19,-4.05,50,-1.6,0.28,30.31,Export NA,5.93
Highway Infrastructure Ltd.,HILINFRA,544477,HILINFRA,INE00RL01028,Roads & Highways,Cement and Construction,66.41,25.59,38,18067.75,476.3,20.35,2.74,8605607.03,2.74,-2.37,2.74,-13.99,40,0.74,-1.98,-15.53,Export NA,
Himatsingka Seide Ltd.,HIMATSEIDE,514043,HIMATSEIDE,INE049A01027,Textiles,Textiles Apparels & Accessories,125.32,47.22,55,33548.22,1575.8,46.77,69.73,52865364.76,69.73,-2.35,69.73,3.45,55,-1.31,1.99,-4.17,Export NA,-1.69
Hindustan Composites Ltd.,HINDCOMPOS,509635,HINDCOMPOS,INE310C01029,Auto Parts & Equipment,Automobiles & Auto Components,445.2,36.4,44.17,1327.1,657.52,40.12,69.65,872592,69.65,-2.72,69.65,-5.88,65,0.55,-2.38,1.72,Export NA,-2.74
Hindustan Media Ventures Ltd.,HMVL,533217,HMVL,INE871K01015,Publishing,Commercial Services & Supplies,66.56,25.23,71.17,2667.79,490.36,35.32,23.75,1308170.24,23.75,-7.89,23.75,-17.79,70,-1.42,1.09,7.59,Export NA,0.02
Hindustan Motors Ltd.,,500500,HINDMOTORS,INE253A01025,Cars & Utility Vehicles,Automobiles & Auto Components,18.33,35.3,19.83,13574.19,382.47,40.45,86.74,5191752.54,86.74,1.95,86.74,-6.34,,5.62,1.66,,Export NA,-0.67
Hindustan Oil Exploration Company Ltd.,HINDOILEXP,500186,HINDOILEXP,INE345A01011,Exploration & Production,Oil & Gas,144.57,38.48,45.5,17105.14,1911.84,30.21,43.94,32702312.28,43.94,4.27,43.94,-10.8,70,1.27,0.49,300.5,Export NA,-0.8
Hindustan Organic Chemicals Ltd.,,500449,HOCL,INE048A01011,Commodity Chemicals,Chemicals & Petrochemicals,30.89,32.47,81.33,5417.64,207.5,32.48,1.67,1124148.88,1.67,-1.15,1.67,-8.07,65,2.65,-1.66,-22.96,Export NA,0
Hindusthan Urban Infrastructure Ltd.,,539984,HUIL,INE799B01017,Electronic Components,Commercial Services & Supplies,2130.1,35.92,26.5,554.44,307.35,58.61,,170408,,-2.95,,-1.78,40,-1.82,0.48,8.03,Export NA,0.01
Hitech Corporation Ltd.,HITECHCORP,526217,HITECHCORP,INE120D01012,Containers & Packaging,Commercial Services & Supplies,186.7,36.37,53.33,7943.2,320.67,38.84,80.06,2547148.1,80.06,0.64,80.06,-0.43,45,-0.88,7.77,-0.32,Export NA,
Huhtamaki India Ltd.,HUHTAMAKI,509820,HUHTAMAKI,INE275B01026,Containers & Packaging,Commercial Services & Supplies,219.14,47.72,52.33,11722.3,1654.99,48.35,24.62,19400245.06,24.62,-2.99,24.62,-15.73,65,-0.53,-1.23,2.04,Export NA,-0.22
I G Petrochemicals Ltd.,IGPL,500199,IGPL,INE204A01010,Petrochemicals,Chemicals & Petrochemicals,388.65,39.35,53.33,7156.08,1196.84,33.16,85.98,8564680.05,85.98,1.69,85.98,-6.42,65,0.82,2.06,-1,Export NA,-0.9
ICE Make Refrigeration Ltd.,ICEMAKE,,ICEMAKE,INE520Y01019,Industrial Machinery,General Industrials,708.6,36.64,33.67,4105.91,1118.15,39.94,100,4591019.4,100,0.89,100,-0.44,35,2.04,0.5,32.28,Export NA,-1.89
IFB Agro Industries Ltd.,IFBAGRO,507438,IFBAGRO,INE076C01018,Breweries & Distilleries,"Food, Beverages & Tobacco",1357.9,67.81,60.83,20779.11,1271.96,69.88,80.54,26430165.6,80.54,-6,80.54,11.68,85,-4.51,0.42,37.3,Export NA,0.01
IFGL Refractories Ltd.,IFGLEXPOR,540774,IFGLEXPOR,INE133Y01011,Electrodes & Refractories,General Industrials,219.1,39.86,40,1335.21,1579.24,41.66,99.5,2108618.4,99.5,-2.24,99.5,-14.4,50,0.81,0.82,7.63,Export NA,-1.28
IIRM Holdings India Ltd.,,526530,IIRM,INE670C01026,Commodity Trading  & Distribution,Commercial Services & Supplies,72.01,30.9,34.67,247.27,490.71,39.3,70,121336.85,70,-3.41,70,-8.12,55,-0.77,-0.62,-12.74,Export NA,-0.53
IKIO Technologies Ltd.,IKIO,543923,IKIO,INE0LOJ01019,Consumer Electronics,Consumer Durables,189.23,32.38,34.5,3280.25,1462.38,32.79,95.89,4796980.5,95.89,-1.31,95.89,-10.61,55,-0.67,0.1,36.69,Export NA,-1.23
