Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,sector_name,Current Price,Trendlyne Momentum Score,Trendlyne Valuation Score,is_buyable,Market Capitalization,Prev Week Trendlyne Momentum Score,Is Stock In PE Buy Zone,buy_intensity,Is Stock in PE Sell Zone,Week change %,%Days traded below current PE Price to Earnings,Month Change %,Trendlyne Durability Score,Prev Day Change %,Day change %,Revenue QoQ Growth %,Forecaster Estimates 1Y forward PEG,PEG TTM PE to Growth
20 Microns Ltd.,20MICRONS,533022,20MICRONS,INE144J01027,Coal & Mining,Metals & Mining,191.34,42.36,52.5,24997.38,675.17,32.31,69.48,16877527.38,69.48,0.25,69.48,-9,55,-0.83,-1.37,-6.63,Export NA,2.17
3B BlackBio Dx Ltd.,,532067,3BBLACKBIO,INE994E01018,Agrochemicals,Chemicals & Petrochemicals,1286.3,29.78,37.33,1642.84,1103.99,30.06,58.75,1813683,58.75,-1.85,58.75,-2.67,70,0.53,-0.92,52.47,Export NA,1.7
3i Infotech Ltd.,3IINFOLTD,532628,3IINFOLTD,INE748C01038,IT Consulting & Software,Software & Services,16.97,34.54,69.67,19029.12,351.95,35.14,16.68,6697329.29,16.68,-2.13,16.68,-15.02,75,-0.24,0.06,2.54,Export NA,0.02
5Paisa Capital Ltd.,5PAISA,540776,5PAISA,INE618L01018,Capital Markets,Banking and Finance,334.95,46.36,44,19013,1046.46,47.09,18.1,19896364.95,18.1,-6.07,18.1,5.83,70,-0.89,-1.72,-0.67,Export NA,-0.89
A2Z Infra Engineering Ltd.,A2ZINFRA,533292,A2ZINFRA,INE619I01012,Construction & Engineering,Cement and Construction,15.48,36.88,47,7282.77,272.63,33.82,86.35,1985526.72,86.35,-9.42,86.35,-5.84,60,-2.36,0.91,4.64,Export NA,-15.33
AB Cotspin India Ltd.,ABCOTS,544522,ABCOTS,INE08PH01015,Textiles,Textiles Apparels & Accessories,415.15,43.99,27,10745.96,911.82,41.9,87.97,9798370.3,87.97,-0.82,87.97,-1.35,75,2.28,-1.52,-23.92,Export NA,5.35
AB Infrabuild Ltd.,ABINFRA,544281,ABINFRA,INE00YB01025,Construction & Engineering,Cement and Construction,18.83,51.02,32,9240.81,1202.84,64.2,92.39,11115217.19,92.39,-6.83,92.39,3.18,60,2.15,-0.74,-38.41,Export NA,0.5
ABM Knowledgeware Ltd.,,531161,ABMKNO,INE850B01026,IT Software Products,Software & Services,282.55,64.37,35,359.46,565.16,63.93,99.88,203153.45,99.88,10.33,99.88,-7.63,65,-2.1,-1.36,-12.07,Export NA,-3.18
ABS Marine Services Ltd.,ABSMARINE,,ABSMARINE,INE0QRV01016,Marine Port & Services,Transportation,212.15,63.18,37,13441.96,520.83,66.97,93.04,7000950,93.04,-7.26,93.04,4.28,,2.76,-3.46,,Export NA,
ACE Software Exports Ltd.,,531525,ACESOFT,INE849B01010,IT Consulting & Software,Software & Services,223.05,43.66,27,21700.3,339.66,60.39,54.08,7370687.25,54.08,-18.22,54.08,-22.5,50,-4.52,-10.57,5.76,Export NA,3.94
ACS Technologies Ltd.,,530745,ACSTECH,INE366C01021,Textiles,Textiles Apparels & Accessories,36.36,64.91,43.5,24569.72,220.64,43.4,65.49,5421021.48,65.49,-1.89,65.49,-4.04,50,0.41,-1.99,74.66,Export NA,-4.86
ADC India Communications Ltd.,,523411,ADCINDIA,INE833A01016,Telecom Equipment,Telecommunications Equipment,1298.1,46.57,36.33,11497.83,597.13,46.68,79.33,6865650.9,79.33,-4.25,79.33,-15.19,50,-2.18,0.49,1.42,Export NA,-0.88
AION-TECH Solutions Ltd.,GOLDTECH,531439,GOLDTECH,INE805A01014,IT Consulting & Software,Software & Services,55.68,29.48,30.67,4239.62,290.99,38.87,56.77,1233701.76,56.77,-8.12,56.77,-4.4,45,1.65,0.25,74.06,Export NA,138.49
AK Capital Services Ltd.,,530499,AKCAPIT,INE701G01012,Finance (including NBFCs),Banking and Finance,1563.1,71.84,40.33,6339.39,1031.65,71.54,99.7,6540010.4,99.7,-7.78,99.7,27.31,35,3.58,-0.65,14.61,Export NA,3.23
AMIC Forging Ltd.,,544037,AMIC,INE0P9J01013,Castings & Forgings,General Industrials,1576.65,58.63,21.33,13634.11,1653.65,55.47,56.47,22546095,56.47,4.1,56.47,6.75,,7.12,1.1,,Export NA,
AMJ Land Holdings Ltd.,AMJLAND,500343,AMJLAND,INE606A01024,Realty,Realty,53.29,33.83,60.67,2921.46,218.49,44.28,27.18,638307.62,27.18,-1.19,27.18,-3.5,90,-2.23,2.19,-22.47,Export NA,0.17
ANB Metal Cast Ltd.,AMCL,,AMCL,INE0VG001016,Aluminium and Aluminium Products,Metals & Mining,337.85,26.8,22.33,675.97,399.84,25.48,100,270280,100,19.53,100,12.45,,-1.14,-0.49,,Export NA,
ARCL Organics Ltd.,,543993,ARCL,INE372M01010,Specialty Chemicals,Chemicals & Petrochemicals,377.35,61.69,48.33,6721.25,301.88,71.31,63.08,2029010.95,63.08,-8.84,63.08,17.37,80,1.17,-2.05,27.98,Export NA,0.46
ASI Industries Ltd.,,502015,ASIIL,INE443A01030,Coal & Mining,Metals & Mining,30.24,40.07,39.17,1630.75,272.39,33.64,52.23,444195.36,52.23,3.88,52.23,-3.69,60,1.42,0.47,-30.28,Export NA,-2.86
AVG Logistics Ltd.,AVG,543910,AVG,INE680Z01018,Warehousing & Logistics,Transportation,198.64,28.85,55,2686.33,299.11,29.32,49.28,803498.8,49.28,-1.81,49.28,-12.49,60,1.49,-0.43,14.41,Export NA,-0.32
AVP Infracon Ltd.,AVPINFRA,,AVPINFRA,INE0R9401019,Roads & Highways,Cement and Construction,141.4,32.82,26.5,15693.06,353.21,32.25,5.56,5542880,5.56,-2.21,5.56,-13.65,,0.74,-1.36,,Export NA,
AVT Natural Products Ltd.,AVTNPL,519105,AVTNPL,INE488D01021,Other Agricultural Products,"Food, Beverages & Tobacco",68.7,42.75,43.17,2261.37,1046.19,44.98,16.27,2365821.9,16.27,-0.87,16.27,0.72,65,-0.07,-0.1,21.06,Export NA,0.49
AYM Syntex Ltd.,AYMSYNTEX,508933,AYMSYNTEX,INE193B01039,Textiles,Textiles Apparels & Accessories,168.42,27.78,51.67,7006.87,986.62,39.21,97.31,6913135.74,97.31,-0.63,97.31,-1.31,75,-0.52,1.58,6.94,Export NA,-7.14
Aarey Drugs & Pharmaceuticals Ltd.,AAREYDRUGS,524412,AAREYDRUGS,INE198H01019,Pharmaceuticals,Pharmaceuticals & Biotechnology,87.69,68.01,44.67,19835.79,248.64,65.93,99.36,4931948.67,99.36,-7.28,99.36,-2.02,65,-0.57,-0.57,-17.66,Export NA,-1.72
Aaron Industries Ltd.,AARON,,AARON,INE721Z01010,Heavy Electrical Equipment,General Industrials,186.27,42.95,29.67,6484.62,390.17,46.21,95.36,2530105.41,95.36,-3.71,95.36,-10.98,65,1.35,-0.15,15.6,Export NA,-19.17
Aarti Surfactants Ltd.,AARTISURF,543210,AARTISURF,INE09EO01013,Specialty Chemicals,Chemicals & Petrochemicals,433.45,34.43,45.83,4241.77,366.95,31.99,2.17,1556518.95,2.17,-2.31,2.17,-7.55,55,0.19,1.04,-17.01,Export NA,-10.89
Aashka Hospitals Ltd.,,543346,AASHKA,INE0EAX01014,Healthcare Facilities,Healthcare,87.25,39.06,31,854.7,204.16,47.51,50.16,174500,50.16,-3.06,50.16,-2.19,,11.08,-0.85,,Export NA,
Aayush Art and Bullion Ltd.,,540718,AAYUSHBULL,INE777X01017,Textiles,Textiles Apparels & Accessories,1062.2,63.44,17,36163.97,1626.46,64.43,88.93,58819325,88.93,2.6,88.93,6.33,,0.99,0.24,,Export NA,
Aban Offshore Ltd.,ABAN,523204,ABAN,INE421A01028,Exploration & Production,Oil & Gas,34.56,39.7,30.83,4419.24,201.71,34.03,,891406.08,,-2.35,,-16.96,,-0.69,0.09,-8.43,Export NA,0.02
Abans Enterprises Ltd.,,512165,ABANSENT,INE365O01028,Commodity Trading  & Distribution,Commercial Services & Supplies,32.07,40.48,54.33,91.33,223.68,38.74,55.31,20428.59,55.31,-0.71,55.31,-3.75,65,0.03,1.55,88.88,Export NA,0.29
Abans Financial Services Ltd.,AFSL,543712,AFSL,INE00ZE01026,Finance (including NBFCs),Banking and Finance,201.49,32.55,56.17,1515.52,1020.53,49.83,0.48,1546637.24,0.48,-4.33,0.48,-0.39,45,-1.57,-0.1,260.74,Export NA,0.22
Abate As Industries Ltd.,,531658,ABATEAS,INE454E01013,Healthcare Facilities,Healthcare,17.57,63.37,34.33,3659.56,276.91,70.46,42.2,1013384.89,42.2,-7.28,42.2,1.97,,-0.28,-2.23,,Export NA,0.23
Accelya Solutions India Ltd.,ACCELYA,532268,ACCELYA,INE793A01012,IT Consulting & Software,Software & Services,1295.8,41.1,49.33,3588.97,1934.15,44.62,17.06,6941600.6,17.06,-2.2,17.06,-6.62,65,0.7,0.23,3.39,Export NA,0.46
Accent Microcell Ltd.,ACCENTMIC,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals,Pharmaceuticals & Biotechnology,327.3,69.83,29.83,20842.89,785.16,68.3,73.87,16365000,73.87,3.14,73.87,20.77,,6.37,2.33,,Export NA,
Active Infrastructures Ltd.,ACTIVEINFR,,ACTIVEINFR,INE0KLO01025,Construction & Engineering,Cement and Construction,173,16.62,26.83,1998,259.76,24.99,90.27,519000,90.27,-2.4,90.27,1.76,,1.73,0,,Export NA,
Adcounty Media India Ltd.,,544435,ADCOUNTY,INE0W1601012,Advertising & Media,Media,151.15,17.88,28.17,16710.22,340.11,17.56,34,5683240,34,-14.19,34,-30.39,45,4.97,-3.23,-2.03,Export NA,
Aditya Birla Money Ltd.,BIRLAMONEY,532974,BIRLAMONEY,INE865C01022,Capital Markets,Banking and Finance,155.77,41.47,34.33,4326.2,880.24,44.33,31.92,3808109.19,31.92,-1.49,31.92,-5.47,50,0.86,-0.53,-5.5,Export NA,-0.64
Ador Welding Ltd.,ADOR,517041,ADOR,INE045A01017,Other Industrial Goods,General Industrials,1083.7,65.79,42.83,3894.2,1885.94,65.72,66.61,7344234.9,66.61,-2.38,66.61,-2.72,85,0.05,-0.96,11.61,Export NA,
Advait Energy Transitions Ltd.,,543230,ADVAIT,INE0ALI01010,Wires & Cables,Consumer Durables,1542.35,41.7,39.83,15348.98,1668.16,44.93,9.66,25604552.35,9.66,-7.85,9.66,-14.83,55,-0.04,-1.28,32.46,Export NA,0.67
Advance Agrolife Ltd.,ADVANCE,544562,ADVANCE,INE1B0W01010,Agrochemicals,Chemicals & Petrochemicals,125.85,18.77,33.83,37037.16,809.04,10.42,100,29964381.6,100,-6.59,100,-11.68,40,2.95,-2.71,26.11,Export NA,
Advani Hotels & Resorts (India) Ltd.,ADVANIHOTR,523269,ADVANIHOTR,INE199C01026,Hotels,Hotels Restaurants & Tourism,57.99,40.02,38,15458.71,536.05,31.07,24.73,8286655.02,24.73,4.54,24.73,-1.68,75,0.26,6.89,-23.78,Export NA,2.74
Advent Hotels International Ltd.,,544446,ADVENTHTL,INE28GN01010,Hotels,Hotels Restaurants & Tourism,236.1,0,28,5591.65,1273.59,0,,7121484.3,,-7.83,,,,-4.98,4.08,-4.35,Export NA,
Aelea Commodities Ltd.,,544213,ACLD,INE0T3401029,Commodity Trading  & Distribution,Commercial Services & Supplies,168.75,43.64,27.83,5891.36,343.72,43.45,66,2025000,66,-5.67,66,-15.86,,0.84,0.21,,Export NA,
Aeroflex Enterprises Ltd.,,511076,AEROENTER,INE065D01027,Iron & Steel Products,Metals & Mining,85.94,38.57,52.5,1386.39,971.85,35.25,52.28,1347367.32,52.28,2.35,52.28,0.98,65,0.74,-1.85,28.16,Export NA,2.7
Aerpace Industries Ltd.,,534733,AERPACE,INE175N01023,Iron & Steel/Interm.Products,Metals & Mining,19.36,28.08,2.33,26868.65,289.43,29,,7776699.04,,4.65,,-12.71,,5.62,0.94,,Export NA,
Affordable Robotic & Automation Ltd.,,541402,AFFORDABLE,INE692Z01013,Industrial Machinery,General Industrials,223.95,31.33,19.33,1604.97,251.86,23.49,,404229.75,,0.88,,-13.13,25,2.9,0.31,49.42,Export NA,0.15
Agarwal Industrial Corporation Ltd.,AGARIND,531921,AGARIND,INE204E01012,Petrochemicals,Chemicals & Petrochemicals,769.8,30.78,53,23528.19,1151.45,30.97,61.55,27091571.4,61.55,-1.33,61.55,-11.82,50,0.25,-0.25,-58.76,Export NA,-0.43
Agarwal Toughened Glass India Ltd.,AGARWALTUF,,AGARWALTUF,INE0P8X01016,Construction Materials,Cement and Construction,138.15,55.38,26,18331.39,244.17,54.52,85.19,4476060,85.19,-0.4,85.19,-3.02,,2.51,-0.36,,Export NA,
Agribio Spirits Ltd.,,539546,AGRIBIO,INE679E01015,Commodity Trading  & Distribution,Commercial Services & Supplies,230.1,68.79,30.33,12383.57,238.14,66.53,100,2948961.6,100,4.66,100,3.77,35,0.39,5.07,128.91,Export NA,0.99
Ahmedabad Steelcraft Ltd.,,522273,AHMDSTE,INE868C01018,Iron & Steel/Interm.Products,Metals & Mining,187.1,26.34,53.83,12452.96,282.37,26.68,53.42,3516357.4,53.42,5.83,53.42,2.27,65,9.99,5.86,51.54,Export NA,0
Aimtron Electronics Ltd.,AIMTRON,,AIMTRON,INE0RUV01018,Electronic Components,Commercial Services & Supplies,961.85,66.8,19.17,15381.75,1963.5,74.36,98.88,30202090,98.88,-5.02,98.88,32.93,,0.92,-2.4,,Export NA,
Airan Ltd.,AIRAN,543811,AIRAN,INE645W01026,IT Consulting & Software,Software & Services,19.4,27.97,43.33,8758.68,242.54,29.19,99.43,2124319.4,99.43,-7.31,99.43,-18.11,65,-0.05,-2.12,2.22,Export NA,-1.14
Airfloa Rail Technology Ltd.,,544516,AIRFLOA,INE0XBS01012,Auto Parts & Equipment,Automobiles & Auto Components,382.35,20.91,20.5,50479.77,916.49,19.53,100,46264350,100,-0.31,100,-0.98,,0.19,1.85,,Export NA,
Ajanta Soya Ltd.,,519216,AJANTSOY,INE601B01023,Edible Oils,FMCG,29.89,29.08,62.67,4699.38,240.56,29.4,52.61,1130499.58,52.61,-4.47,52.61,-8.62,70,-1.15,2.01,11.17,Export NA,0.39
Akiko Global Services Ltd.,AKIKO,,AKIKO,INE0PMR01017,Distributors,Commercial Services & Supplies,282,70.96,21.17,3714.16,303.7,67.91,100,1128000,100,-1.74,100,1.29,,2.36,-1.4,,Export NA,
Akme Fintrade (India) Ltd.,AFIL,544200,AFIL,INE916Y01027,Finance (including NBFCs),Banking and Finance,7.15,42.12,46.5,40751.99,305.13,42.39,23.1,12434500.65,23.1,-7.38,23.1,-12.16,45,-0.41,-2.19,9.29,Export NA,0.34
AksharChem (India) Ltd.,AKSHARCHEM,524598,AKSHARCHEM,INE542B01011,Dyes & Pigments,Chemicals & Petrochemicals,266.15,59.1,59,3451.97,213.8,41.91,99.82,738033.95,99.82,6.89,99.82,-2.56,80,-5.89,-0.54,-7.9,Export NA,0.72
Alacrity Securities Ltd.,,535916,ALSL,INE030P01017,Other Financial Services,Banking and Finance,53.66,27.24,39,31925.2,250.38,26.72,32.18,7993354.58,32.18,-1.54,32.18,-3.85,55,0.17,2.02,45.23,Export NA,-1.72
Alankit Ltd.,ALANKIT,531082,ALANKIT,INE914E01040,Misc. Commercial Services,Commercial Services & Supplies,10.84,27.94,54.83,10878.75,293.94,28.48,10.25,3197648.24,10.25,-3.47,10.25,-13.21,70,0.18,-1.36,-11.77,Export NA,-0.61
Albert David Ltd.,ALBERTDAVD,524075,ALBERTDAVD,INE155C01010,Pharmaceuticals,Pharmaceuticals & Biotechnology,792.9,34.72,22.67,2913.86,452.52,36.23,,1318592.7,,-1.04,,-1.82,40,0.16,0.2,23.63,Export NA,0.25
Alfred Herbert (India) Ltd.,,505216,ALFREDHE,INE782D01027,Realty,Realty,2864,47.64,47.33,362.98,220.93,59.4,,80192,,-8.67,,-9.12,80,-1.33,-1.31,207.43,Export NA,0
Algoquant Fintech Ltd.,,505725,ALGOQUANT,INE598D01035,Other Financial Services,Banking and Finance,62,52.16,28.17,1431.79,1742.8,44.16,95.97,2495314,95.97,3.2,95.97,-8.28,55,-0.08,-0.16,-5.89,Export NA,
Alicon Castalloy Ltd.,ALICON,531147,ALICON,INE062D01024,Auto Parts & Equipment,Automobiles & Auto Components,894.5,54.64,48.83,6299.89,1461.33,56.04,98.19,9206194,98.19,4.01,98.19,-9.1,60,0.09,-0.38,2.45,Export NA,-0.81
All Time Plastics Ltd.,ALLTIME,544479,ALLTIME,INE0GV601021,Houseware,Consumer Durables,275,18.55,39,31824.15,1801.46,17.93,80.28,57330075,80.28,-1.66,80.28,-5.11,35,0.09,-0.16,-6.69,Export NA,0.92
All e Technologies Ltd.,ALLETEC,,ALLETEC,INE0M2X01012,IT Consulting & Software,Software & Services,232.3,34.03,42.67,21194.2,469.11,26.87,0.41,9942440,0.41,-2.6,0.41,-10.84,70,-0.77,-3.19,-7.63,Export NA,0.68
Allcargo Gati Ltd.,ACLGATI,532345,ACLGATI,INE152B01027,Warehousing & Logistics,Transportation,66.05,51.87,50.67,61857.3,971.43,53.05,63.72,60090308.5,63.72,,63.72,8.63,60,3.76,1.07,-7.3,Export NA,3.5
Allcargo Logistics Ltd.,ALLCARGO,532749,ALLCARGO,INE418H01029,Warehousing & Logistics,Transportation,12.96,14.35,46.67,142146.65,1273.69,15.66,,181050137.3,,-16.33,,-61.12,55,-5.28,6.23,-85.93,Export NA,0.03
Allcargo Terminals Ltd.,,543954,ATL,INE0NN701020,Warehousing & Logistics,Transportation,27.52,43.25,50.83,516.85,721.05,49.72,47.64,372675.84,47.64,-10.5,47.64,-13.97,50,1.46,-0.97,10.63,Export NA,-0.77
Alldigi Tech Ltd.,ALLDIGI,532633,ALLDIGI,INE835G01018,BPO/KPO,Software & Services,847.85,32.02,44.83,3121.74,1291.98,34.48,66.45,4033222.45,66.45,-3.07,66.45,-6.58,60,1.09,1.26,2.44,Export NA,-3.14
Allied Digital Services Ltd.,ADSL,532875,ADSL,INE102I01027,IT Consulting & Software,Software & Services,160.3,32.41,50.17,15522.32,905.92,35.43,68.27,14061996.9,68.27,-3.26,68.27,-12.41,50,-0.03,-0.85,6.7,Export NA,-1.38
Almondz Global Securities Ltd.,ALMONDZ,531400,ALMONDZ,INE326B01035,Capital Markets,Banking and Finance,18.22,39.91,36.33,55018.92,316.38,32.05,81.94,17407132.92,81.94,6.8,81.94,7.05,65,-1.53,8.71,6.64,Export NA,-0.37
Alphalogic Techsys Ltd.,,542770,ALPHALOGIC,INE08E401029,IT Consulting & Software,Software & Services,64.28,26.47,25,435.39,402.46,24.51,42.17,175227.28,42.17,-5.16,42.17,-17.03,70,-1.37,0.19,46.87,Export NA,17.42
Alpine Housing Development Corporation Ltd.,,526519,ALPINEHOU,INE840D01015,Realty,Realty,126.15,45.95,41.83,99.87,218.52,47.59,66.84,21823.95,66.84,-3.04,66.84,-9.28,85,0.08,-1.75,-7.49,Export NA,0.53
Alstone Textiles (India) Ltd.,,539277,ALSTONE,INE184S01024,Textiles,Textiles Apparels & Accessories,0.34,26.51,24.83,19917.92,213.34,28.05,74.13,4249353.66,74.13,-5.56,74.13,-19.05,,0,-2.86,,Export NA,-3.26
Alufluoride Ltd.,,524634,ALUFLUOR,INE058F01019,Specialty Chemicals,Chemicals & Petrochemicals,428.7,47.56,41.5,3934.53,335.26,56.85,21.54,1319109.9,21.54,-5.01,21.54,-8.61,60,0.25,0.45,25.3,Export NA,-6.09
Amal Ltd.,,506597,AMAL,INE841D01013,Specialty Chemicals,Chemicals & Petrochemicals,679.4,51.18,51.17,2950.81,839.92,50.78,2.11,2478451.2,2.11,-1.49,2.11,-7.55,90,1.37,-0.6,14.16,Export NA,0.06
Amanta Healthcare Ltd.,AMANTA,544502,AMANTA,INE084K01015,Pharmaceuticals,Pharmaceuticals & Biotechnology,106.24,16.99,45.83,53104.35,412.52,26.21,50.91,21906794.24,50.91,-9.07,50.91,-14.5,55,-1.91,-4.12,8.54,Export NA,
Amba Enterprises Ltd.,,539196,AEL,INE829P01020,Other Electrical Equipment/Products,Consumer Durables,173.9,56.87,46,7977.57,220.17,56.61,56.82,1756390,56.82,1.67,56.82,7.95,65,-1.47,1.49,8.71,Export NA,1.11
Ambalal Sarabhai Enterprises Ltd.,,500009,AMBALALSA,INE432A01017,Pharmaceuticals,Pharmaceuticals & Biotechnology,28.4,31.68,37.33,9381.43,217.64,31.51,65.47,2041761.2,65.47,-5.02,65.47,-12.78,50,-0.14,-1.93,10.19,Export NA,-0.84
Ambika Cotton Mills Ltd.,AMBIKCO,531978,AMBIKCO,INE540G01014,Textiles,Textiles Apparels & Accessories,1274.8,41.74,55.67,12415.72,729.82,42.55,63.92,9061278.4,63.92,-1.97,63.92,-7,75,-1.29,-0.2,3.99,Export NA,-2.81
Amines & Plasticizers Ltd.,,506248,AMNPLST,INE275D01022,Commodity Chemicals,Chemicals & Petrochemicals,197,38.46,37.83,23.81,1083.89,33.32,77.33,25807,77.33,0.36,77.33,-9.01,60,-3.41,-0.51,-5.1,Export NA,-2.43
Amrutanjan Health Care Ltd.,AMRUTANJAN,590006,AMRUTANJAN,INE098F01031,Pharmaceuticals,Pharmaceuticals & Biotechnology,680.95,42.91,36.17,1447.57,1968.67,46.03,30.53,2849775.75,30.53,-2.84,30.53,-5.44,70,-0.49,-0.09,25.15,Export NA,1.8
Anand Rayons Ltd.,,542721,ARL,INE02GA01012,Textiles,Textiles Apparels & Accessories,409.55,54.83,30.67,3351.8,872.3,56.89,96.92,2923777.45,96.92,-2.17,96.92,-11.54,75,1.17,1.95,47.79,Export NA,4.33
Andhra Cements Ltd.,ACL,532141,ACL,INE666E01020,Cement & Cement Products,Cement and Construction,72,44.58,25.33,2555.22,663.64,54.08,,1695744,,-5.78,,1.87,10,0.58,-1.4,-21.78,Export NA,0.06
Andhra Paper Ltd.,ANDHRAPAP,502330,ANDHRAPAP,INE435A01051,Paper & Paper Products,Commercial Services & Supplies,68.61,34.96,36.67,1243.9,1364.31,35.94,92.3,1697068.35,92.3,-2.29,92.3,-12,35,0.01,0.12,-7.97,Export NA,-0.74
Andhra Petrochemicals Ltd.,,500012,ANDHRAPET,INE714B01016,Petrochemicals,Chemicals & Petrochemicals,50.13,33.69,26.83,3090.33,425.96,32.46,,1316363.67,,-1.51,,-3.07,40,-0.87,0.4,18.51,Export NA,0.07
Andhra Sugars Ltd.,ANDHRSUGAR,590062,ANDHRSUGAR,INE715B01021,Commodity Chemicals,Chemicals & Petrochemicals,77.06,45.72,60.83,5939.11,1044.44,53.42,74.19,6203021.76,74.19,-3.41,74.19,-5.42,70,-0.48,-1.26,-0.39,Export NA,1.1
Andrew Yule & Company Ltd.,,526173,ANDREWYU,INE449C01025,Tea & Coffee,"Food, Beverages & Tobacco",24.61,30.24,30.67,1432.29,1203.31,31.03,82.47,1723487.52,82.47,-1.36,82.47,-4.94,45,-0.04,0.94,27.39,Export NA,1.92
Anjani Portland Cement Ltd.,APCL,518091,APCL,INE071F01012,Cement & Cement Products,Cement and Construction,118.79,31.99,29.5,3695.68,348.94,40.46,,1289584.24,,-6.84,,-3.34,30,2.68,-3.86,-20.07,Export NA,-0.31
Anka India Ltd.,,531673,ANKIN,INE067C01025,IT Software Products,Software & Services,47.64,53.85,4.5,5009.26,245.55,55.47,,1230017.16,,-11.52,,-22.09,,-1.35,4.98,,Export NA,17.99
Anlon Healthcare Ltd.,AHCL,544497,AHCL,INE0Y8W01017,Pharmaceuticals,Pharmaceuticals & Biotechnology,168.61,32.2,2,23261.81,896.19,31.34,,20846940.4,,7.86,,38.14,,2.72,0.5,56.77,Export NA,
Anlon Technology Solutions Ltd.,ANLON,,ANLON,INE0LR101013,Industrial Machinery,General Industrials,400,51.92,21.83,7033.92,250.22,54.29,63.5,1760000,63.5,0.13,63.5,2.45,,-0.24,0.49,,Export NA,
Annapurna Swadisht Ltd.,ANNAPURNA,,ANNAPURNA,INE0MGM01017,Packaged Foods,FMCG,249.45,38.24,20.83,160174.15,544.3,28.58,8.81,87182775,8.81,4.18,8.81,-0.16,,5,-0.14,,Export NA,
Anondita Medicare Ltd.,ANONDITA,,ANONDITA,INE0VTV01012,Personal Products,FMCG,646,27.93,18.83,2764.48,1168.39,28.37,100,3230000,100,1.82,100,31.8,,2,1.9,,Export NA,
Antelopus Selan Energy Ltd.,ANTELOPUS,530075,ANTELOPUS,INE818A01017,Exploration & Production,Oil & Gas,394.65,28.9,40.17,23508.63,1387.68,31.9,60.46,32622558.3,60.46,-21.18,60.46,-27.22,70,-3.94,-1.47,8.89,Export NA,-37.75
Antony Waste Handling Cell Ltd.,AWHCL,543254,AWHCL,INE01BK01022,Waste Management,Utilities,459.65,32.46,57.83,9301.64,1304.58,33.64,42.44,12134760,42.44,-2.14,42.44,-12.96,55,-1.17,0.36,4.17,Export NA,0.6
Anuh Pharma Ltd.,,506260,ANUHPHR,INE489G01022,Pharmaceuticals,Pharmaceuticals & Biotechnology,77.02,30.14,45.83,1050.85,771.93,33.04,57.87,811174.64,57.87,-4.23,57.87,-13.99,50,0,0.35,-0.32,Export NA,-0.58
Anya Polytech & Fertilizers Ltd.,ANYA,,ANYA,INE0SI601032,Containers & Packaging,Commercial Services & Supplies,23,40.47,22.17,12083.33,276,41.69,78.26,3335000,78.26,0.22,78.26,-4.37,,0.88,0.44,,Export NA,
Apex Frozen Foods Ltd.,APEX,540692,APEX,INE346W01013,Other Food & Beverages,"Food, Beverages & Tobacco",297.27,68.92,56.33,139671.36,928.97,70.7,73.39,129750328.7,73.39,7.36,73.39,25.01,80,-3.06,-0.85,-7.67,Export NA,0.11
Apis India Ltd.,,506166,APIS,INE070K01014,Other Food & Beverages,"Food, Beverages & Tobacco",1097.9,38.33,35.33,1.81,604.95,35.83,100,1097.9,100,,100,21.54,65,5,5,10.81,Export NA,-1.06
Apollo Pipes Ltd.,APOLLOPIPE,531761,APOLLOPIPE,INE126J01016,Plastic Products,General Industrials,299.95,36.49,39.17,12710.17,1321.23,36.51,73.76,16793000.7,73.76,-0.74,73.76,-4.76,50,-0.65,0.12,-14.29,Export NA,
Apollo Sindoori Hotels Ltd.,APOLSINHOT,,APOLSINHOT,INE451F01024,Hotels,Hotels Restaurants & Tourism,1297.2,43.51,51.83,1568.99,337.32,44.44,71.79,529257.6,71.79,0.52,71.79,-2.27,75,0.56,0.39,8.2,Export NA,1.47
Aprameya Engineering Ltd.,APRAMEYA,,APRAMEYA,INE0LQG01010,Medical Equipment,Hardware Technology & Equipment,328.5,67.34,21,3413.87,625.46,77.06,100,2135250,100,-6.87,100,20.33,,-0.08,0.46,,Export NA,
Aptech Ltd.,APTECHT,532475,APTECHT,INE266F01018,IT Training Services,Software & Services,104.47,34.79,43.67,17775.18,605.96,35.88,38.91,10770961.47,38.91,-0.34,38.91,-4.25,65,0.95,0.68,12,Export NA,3.39
Arfin India Ltd.,,539151,ARFIN,INE784R01023,Aluminium and Aluminium Products,Metals & Mining,57.46,69.04,29.67,169.33,969.48,67.14,100,164163.22,100,0.58,100,8.72,60,-0.26,-0.85,17.52,Export NA,-15.99
Arham Technologies Ltd.,ARHAM,,ARHAM,INE0L2Y01011,Consumer Electronics,Consumer Durables,155.95,73.06,23,20685.58,263.87,71.17,94.76,5458250,94.76,6.2,94.76,42.81,,5,0.32,,Export NA,
Aries Agro Ltd.,ARIES,532935,ARIES,INE298I01015,Agrochemicals,Chemicals & Petrochemicals,339.7,44.72,65.17,34841.55,441.76,46.15,48.46,15391467.3,48.46,-8.04,48.46,-12.96,90,-1.19,-1.69,25.09,Export NA,0.34
