Ticker,MarketCap_Cr
ELDEHSG.NS,766.97
ELECTHERM.NS,1083.33
ELGNZ.NS,232.21
ELGIRUBCO.NS,276.28
ELIN.NS,900.17
EMAMIPAP.NS,544.31
EMAMIREAL.NS,386.66
ETML.NS,202.75
EMKAY.NS,766.41
ETL.NS,939.07
EMMBI.NS,201.79
EMMIL.NS,226.53
ENFUSE.NS,212.43
ENIL.NS,585.25
ENVIRO.NS,252.73
EEPL.NS,281.8
ESCONET.NS,223.12
ESSARSHPNG.NS,609.54
ESFL.NS,560.0
ESTER.NS,1065.45
EIFFL.NS,526.03
EUROBOND.NS,422.89
EVERESTIND.NS,832.43
EKC.NS,1350.2
EXCELINDUS.NS,1196.23
EXCEL.NS,204.55
EXCELSOFT.NS,1378.59
EXICOM.NS,1556.02
EXPLEOSOL.NS,1727.03
EXXARO.NS,360.17
FCSSOFT.NS,347.04
FABTECH.NS,1065.35
FAIRCHEMOR.NS,849.87
FELIX.NS,284.25
FINBUD.NS,296.22
FLYSBS.NS,987.7
FOCE.NS,861.15
FOCUS.NS,502.06
FOODSIN.NS,556.12
FORCAS.NS,221.77
FRESHARA.NS,365.77
FROG.NS,256.65
GFLLIMITED.NS,676.02
GHCLTEXTIL.NS,727.69
GICHSGFIN.NS,921.61
GKWLIMITED.NS,1049.81
GNA.NS,1357.04
GOCLCORP.NS,1512.46
GPECO.NS,572.85
GPTHEALTH.NS,1162.55
GPTINFRA.NS,1357.53
GRPLTD.NS,1035.78
GSMFOILS.NS,306.1
GTLINFRA.NS,1716.42
GTPL.NS,1119.91
GVKPIL.NS,532.19
GALAPREC.NS,955.63
GANDHAR.NS,1279.77
GANDHITUBE.NS,934.43
GANESHBE.NS,611.69
GANESHCP.NS,1104.69
GGBL.NS,963.64
GANESHIN.NS,935.39
GARUDA.NS,1980.02
GAYAPROJ.NS,215.84
GRCL.NS,214.6
GEECEE.NS,760.35
GEEKAYWIRE.NS,342.72
GEMAROMA.NS,890.64
GENCON.NS,255.81
GENESYS.NS,1798.62
GENUSPAPER.NS,366.15
GILLANDERS.NS,243.32
GINNIFILA.NS,343.03
GIRIRAJ.NS,284.77
GLOBAL.NS,426.25
GSLSU.NS,543.38
GLOBALVECT.NS,284.49
GLOBECIVIL.NS,407.04
GICL.NS,484.76
GLOTTIS.NS,607.46
GOACARBON.NS,367.83
GODAVARIB.NS,1268.65
GOKUL.NS,398.26
GOLDKART.NS,436.25
GOLDSTAR.NS,217.51
GOYALSALT.NS,324.71
GCHOTELS.NS,411.17
GRETEX.NS,310.12
GUJAPOLLO.NS,590.98
